e401k,inc,marr,male,age,fsize,nettfa,p401k,pira
0,25.86,0,0,26,1,10.5,0,0
1,77.355,1,0,33,4,30.9,1,1
0,15.414,0,0,50,4,0.145,0,0
0,73.902,1,0,44,4,14.299,0,0
1,10.545,0,1,25,1,1.031,1,0
0,24.177,0,1,25,1,-1.301,0,0
1,33.42,0,0,46,2,8.412,1,0
0,53.226,1,0,51,8,-1.2,0,0
0,31.869,0,1,36,1,1.6,0,1
0,26.946,0,0,64,2,-3.8,0,0
1,90.726,1,0,62,2,13.6,1,1
0,28.8,1,0,31,8,0.1,0,0
0,23.193,1,0,37,7,-1.886,0,0
1,36.036,0,1,64,1,18.25,1,0
0,56.082,1,0,28,2,9.8,0,0
0,16.032,0,1,25,2,1.93,0,0
1,52.236,1,0,38,6,-3,0,0
0,39.63,1,0,41,3,0.225,0,0
1,34.47,1,0,50,5,27.798,1,0
0,31.548,1,0,56,6,-24.8,0,0
1,31.2,1,0,28,2,-72.8,0,0
1,19.806,1,0,39,4,25.57,1,0
1,74.529,1,0,42,4,17.95,1,0
1,26.682,1,0,43,5,3.6,1,0
0,33.75,0,1,25,1,-3,0,0
1,146.577,1,0,43,5,778.628,1,1
0,23.718,0,0,32,1,14.299,0,1
1,19.302,0,0,31,1,-3.4,0,0
0,29.4,1,0,53,2,27.96,0,1
0,16.977,0,0,35,2,-1.025,0,0
0,19.734,1,0,49,7,-1.3,0,0
0,14.28,1,0,43,4,-0.5,0,0
0,30.075,1,0,47,3,4.232,0,1
0,27,1,0,46,3,-3.3,0,0
1,33.96,1,0,36,13,10.2,1,0
0,64.5,1,0,47,3,5.9,0,0
0,24.03,0,0,31,2,-4,0,0
0,21.111,0,0,64,1,2.5,0,0
0,51.798,0,0,38,2,41.999,0,0
1,17.364,1,0,27,2,-37.504,1,0
0,19.254,0,0,28,1,-1.1,0,0
0,27.603,1,0,35,4,7.559,0,0
0,31.44,0,1,33,1,-1,0,0
0,30.24,0,0,45,3,0.92,0,0
0,16.83,0,1,28,1,0.74,0,0
1,30.231,1,0,34,4,-0.03,1,0
0,35.4,0,1,33,2,2.475,0,0
1,46.155,1,0,55,5,53.948,1,1
0,27.33,1,0,50,4,-2.6,0,0
1,24.678,0,0,44,3,0.583,0,0
1,36.027,1,1,59,2,20.249,1,0
0,13.59,0,0,32,4,0,0,0
0,15.741,0,0,49,2,0.05,0,0
0,27.465,1,0,52,4,1.1,0,0
0,54.963,1,0,55,2,53.699,0,0
0,18.549,1,0,63,2,19,0,0
1,21.576,0,1,39,1,14.5,1,1
0,38.76,1,0,47,3,-0.5,0,0
1,64.662,1,0,62,2,19.444,1,1
1,43.158,1,0,46,2,8,1,0
0,17.88,0,0,43,3,-3.151,0,0
1,23.7,1,0,53,2,13.2,1,0
0,37.755,1,0,56,2,-1.2,0,0
1,40.971,1,1,29,3,-9.968,1,0
0,13.428,1,0,28,2,7.179,0,0
1,92.991,1,0,48,5,83.9,1,1
0,35.061,1,0,41,3,22,0,0
0,17.136,0,1,34,3,0.015,0,0
0,16.956,1,0,47,2,0.826,0,0
1,56.7,1,0,63,2,94.399,1,1
0,70.275,1,0,41,4,-2.157,0,0
0,13.464,0,0,27,2,0.4,0,0
0,74.649,1,0,39,4,-8.005,0,0
0,24.012,0,0,41,3,-9.456,0,0
0,20.559,0,0,30,3,2.9,0,0
0,39.528,1,1,55,2,-15.718,0,1
0,39.303,0,0,34,1,-12.188,0,0
0,17.715,0,1,31,1,4.05,0,0
1,55.08,1,0,54,2,44.043,1,0
1,20.76,0,1,55,1,7.955,0,0
0,14.283,0,1,40,1,0.028,0,0
0,20.436,1,0,31,4,-0.2,0,0
0,26.388,1,0,26,4,0.866,0,0
0,46.104,1,0,39,3,4.35,0,0
1,49.71,1,0,42,3,27.097,0,1
1,76.806,1,0,52,2,80.049,1,0
1,39.705,1,0,39,4,71.569,0,1
0,11.22,0,0,30,3,0,0,0
0,18.348,0,0,50,4,0.3,0,0
0,13.95,0,0,49,6,0,0,0
0,15.216,1,0,32,10,0.2,0,0
0,36.15,1,0,32,4,-2.2,0,0
0,47.34,0,1,27,2,-10.43,0,0
0,63.225,1,0,40,6,10.571,0,1
1,26.031,0,0,49,2,0.5,0,0
0,20.4,1,0,36,5,0,0,0
0,17.928,0,0,36,3,0,0,0
1,31.8,1,0,38,5,12.51,1,0
0,30,1,1,42,2,-15.1,0,0
0,26.463,0,0,43,1,10.011,0,1
1,73.722,1,0,42,5,3.2,1,0
0,33.414,1,0,32,4,-4.7,0,0
1,34.08,1,0,35,6,5.1,0,0
1,48.9,0,0,61,1,28.08,1,1
1,21,0,1,41,1,-2.347,0,0
1,39.609,1,0,59,2,48.684,0,1
1,80.85,1,0,45,5,132.425,1,1
1,91.761,1,0,35,4,-3.45,0,0
0,46.719,1,0,41,5,4,0,0
0,19.2,0,1,25,1,0,0,0
1,102.705,1,0,35,2,56.6,1,0
0,54.966,1,0,33,3,1.4,0,0
0,12.75,0,1,38,2,0,0,0
1,52.836,1,0,50,2,37.65,1,0
0,12.72,1,0,32,3,0,0,0
1,26.646,0,0,28,1,62.679,1,0
0,59.664,1,0,44,5,11.4,0,1
0,39.15,1,0,58,2,189.4,0,1
0,21.3,1,0,47,6,-0.986,0,0
0,30.87,0,0,48,3,10.95,0,1
0,16.5,1,0,57,2,23,0,0
0,32.592,1,0,57,4,-2.1,0,0
0,27.345,1,0,34,5,0.409,0,0
0,35.418,1,0,57,5,-5.75,0,0
0,24.3,0,0,45,1,0.05,0,0
1,52.365,1,0,46,2,6,0,0
0,26.865,1,1,29,4,-1.945,0,0
0,39.48,1,0,35,3,40.2,0,1
1,45.693,1,0,40,2,18.576,1,1
0,39.3,1,0,42,5,-4.9,0,0
0,14.244,0,0,60,1,120,0,1
0,43.518,1,0,27,3,-7.5,0,0
0,10.857,0,1,27,1,1.046,0,0
0,51.222,0,0,33,3,1.6,0,0
0,34.764,1,1,63,2,3,0,0
0,16.959,1,0,43,7,-0.5,0,0
0,23.64,1,0,26,5,-6.001,0,0
1,56.304,1,0,45,4,29.4,1,0
1,107.097,1,0,54,2,47.922,0,0
1,46.818,1,0,39,4,1.8,1,1
0,13.11,0,0,30,3,0,0,0
0,29.16,0,0,36,3,4.245,0,0
1,42.54,1,0,52,2,30.1,1,0
0,74.31,1,0,49,6,-5.5,0,0
0,27.729,1,0,31,6,-4.88,0,0
0,15,0,0,42,3,49.538,0,0
1,54.723,1,0,57,2,21.948,1,0
0,61.581,1,0,44,4,61.366,0,1
1,72.03,1,0,43,2,21.998,0,1
1,37.338,1,0,48,7,-18.89,0,1
0,27.354,0,0,39,3,2.6,0,1
1,92.898,0,1,27,1,30.957,1,1
0,42.942,1,0,33,4,-2.205,0,0
1,31.017,1,0,31,5,1.209,0,1
1,23.892,0,0,35,1,5.249,1,0
1,44.46,1,0,39,2,38.307,1,1
0,33.72,1,1,30,2,-2.552,0,0
0,52.821,1,0,37,5,3.3,0,1
1,86.4,1,0,43,4,45.1,0,1
0,14.763,1,0,31,4,-5.007,0,0
1,107.301,1,0,50,3,371.901,1,1
0,20.385,0,0,27,1,-0.8,0,0
1,41.526,1,0,35,2,-1.5,0,0
0,27.375,1,0,41,4,-1.2,0,0
0,24.336,1,0,42,4,-0.3,0,0
1,34.425,1,0,40,4,-6.46,1,0
0,43.131,1,0,45,2,59.16,0,1
1,57.063,1,0,54,4,138.999,1,1
1,41.535,0,1,30,1,83.7,0,1
0,61.722,1,1,32,3,-2.48,0,0
0,99.153,1,0,43,2,80.802,0,1
0,37.296,1,0,28,3,-2,0,0
1,27.06,0,0,38,3,37.1,1,0
0,32.46,0,0,26,1,-4.49,0,0
1,28.491,0,1,46,3,4.02,1,0
1,19.596,0,1,41,2,-1.2,1,0
1,18.54,0,0,37,5,0.964,1,0
1,102.435,1,0,54,2,139.629,1,1
0,26.7,1,0,39,4,46,0,0
1,43.788,0,0,43,3,46.85,1,1
1,45.87,1,0,47,2,38.8,1,1
0,38.88,0,1,61,2,-17.7,0,0
0,17.706,0,0,43,3,3.399,0,0
0,21.63,0,0,63,2,-0.74,0,0
1,43.437,1,0,36,3,12.818,1,1
1,57.15,1,0,34,4,2.2,1,0
1,22.902,0,1,51,1,61.749,1,1
0,40.74,1,0,42,5,3.6,0,1
0,13.182,1,0,32,4,-2.373,0,0
0,11.61,0,0,44,1,0.05,0,0
1,108.588,1,0,62,2,84.196,0,0
1,29.772,1,0,53,2,1.198,0,0
1,67.32,1,0,45,3,36.199,1,0
1,46.236,1,0,57,3,22.398,0,1
0,32.589,1,0,31,4,1.3,0,0
0,60.498,1,0,40,2,10.05,0,1
0,30.21,0,1,30,2,3.1,0,1
1,55.125,1,0,35,4,23.969,1,1
1,56.676,1,0,56,2,-6.239,0,0
1,70.845,1,0,57,2,200,1,1
0,46.815,0,0,44,3,30.902,0,1
1,14.43,0,0,27,1,-4.5,0,0
1,58.173,1,0,31,2,22.45,0,0
1,50.646,0,0,40,2,45.584,1,1
0,12.207,0,1,32,1,-0.843,0,0
0,62.526,1,0,52,2,69.1,0,1
1,44.703,1,1,32,5,-14,0,0
0,85.38,1,0,25,4,-30.24,0,0
0,34.647,0,1,35,1,4.999,0,0
1,27.786,1,1,41,3,-0.001,0,0
1,54.45,1,0,63,2,94.599,1,1
1,19.638,0,1,52,1,8.5,1,0
1,33.312,0,0,36,2,77.2,1,0
0,24.534,1,0,25,3,5.15,0,0
0,18.36,0,1,28,1,0.015,0,0
0,28.74,0,1,27,1,-1.2,0,0
0,36.168,1,0,25,3,-1.501,0,0
0,17.01,1,0,47,3,4.15,0,0
0,17.412,0,0,39,3,0,0,0
0,32.427,1,0,37,2,0.1,0,0
0,38.058,0,1,28,1,5.2,0,0
1,58.317,1,0,46,3,36.5,0,1
0,15.822,1,0,26,2,11.4,0,0
0,43.275,1,0,26,2,-3.073,0,0
0,17.445,1,0,34,4,-7,0,0
1,21.639,1,0,42,4,0.249,0,0
0,48.033,0,0,61,2,32.055,0,1
0,49.08,1,0,54,2,45.7,0,1
1,35.292,0,1,61,1,3,0,0
0,28.575,0,0,27,1,1.249,0,0
0,33.366,0,1,43,1,12.599,0,0
1,35.472,0,1,51,2,60.398,1,0
0,42.93,1,1,35,3,-18.88,0,0
0,17.58,1,0,32,2,12.2,0,1
0,77.01,1,0,36,4,26,0,1
0,37.662,1,0,37,11,-2.382,0,0
1,20.43,1,0,57,1,-1.94,1,0
0,27.84,0,0,40,2,0,0,0
0,49.806,0,0,37,1,110.103,0,1
0,24.678,1,0,34,3,-0.312,0,0
0,15.81,1,1,60,3,-3.2,0,0
1,17.628,1,0,27,4,12.34,1,0
0,20.406,1,0,37,4,-10.515,0,1
0,37.644,1,1,44,3,-6.656,0,0
0,89.175,1,1,43,3,-0.2,0,0
0,30.165,1,1,56,3,-0.101,0,0
0,27.294,0,0,34,2,-2.5,0,0
0,34.509,0,1,39,1,13.3,0,0
0,28.716,1,0,30,4,-19.175,0,0
1,15,0,1,38,1,2.85,1,0
1,29.325,1,0,33,4,5.513,1,0
0,56.913,1,1,39,3,35.883,0,1
1,51.051,1,0,29,4,16.6,1,0
1,169.2,1,0,49,2,484.198,1,1
0,25.704,0,0,49,1,-0.369,0,0
0,25.8,0,0,37,1,13.5,0,1
1,110.985,1,0,36,4,10.8,1,0
0,35.625,1,0,34,5,-8,0,0
0,45.762,1,0,39,4,16.069,0,1
1,46.911,1,0,56,4,9.02,0,1
0,15.906,0,0,26,4,0.1,0,0
1,50.433,1,0,29,2,14.126,1,0
1,53.844,1,0,44,4,4.73,0,1
0,28.356,1,0,26,2,4.591,0,0
1,50.4,0,1,39,2,5.8,1,0
1,33.15,0,0,43,2,24.68,1,0
0,16.488,1,0,27,6,-1.422,0,0
0,41.775,0,1,50,1,9.499,0,1
1,36.147,1,0,34,4,-0.071,1,1
0,34.95,0,0,41,3,0.5,0,0
1,31.005,0,1,27,1,0,0,0
1,48.528,1,0,46,3,3.22,0,0
0,34.68,1,1,45,4,-57,0,0
0,12.6,0,0,42,1,-9.55,0,0
0,20.07,1,1,52,2,-4,0,0
0,38.319,1,0,31,3,0.09,0,0
0,20.73,1,0,28,4,1.9,0,0
0,28.248,0,1,31,1,15.15,0,0
0,31.098,0,0,55,1,20.299,0,0
1,24.996,0,1,44,1,1.4,0,0
0,22.338,0,1,26,1,0.892,0,0
0,86.79,1,1,27,4,1.4,0,0
0,14.655,0,0,27,3,0,0,0
1,16.224,0,0,42,6,-1.5,0,0
0,25.185,0,0,59,1,237.95,0,1
0,24,0,1,40,1,0,0,0
0,48.027,0,1,39,1,1.9,0,1
0,17.4,0,0,35,1,-10.1,0,0
0,18.75,1,0,35,7,0,0,0
1,30.576,0,0,31,1,13.5,1,0
1,91.776,1,1,42,5,12,1,0
0,17.85,0,1,25,1,0,0,0
1,29.31,0,0,54,1,4.8,0,0
1,66.852,1,0,42,3,10.901,1,0
1,23.07,0,0,30,1,2.16,1,0
1,66.15,1,1,28,4,-1.29,1,0
1,81.711,1,0,54,5,249.6,1,1
0,31.587,1,0,54,2,22.998,0,0
1,64.878,0,1,33,1,27.343,1,0
0,36.06,0,0,28,1,-5,0,0
0,33.6,1,0,39,2,-9,0,0
0,60.03,1,0,39,5,-3.3,0,0
0,60.225,0,1,37,1,-15.8,0,0
1,65.7,1,0,43,5,53.948,1,0
1,32.49,0,0,61,3,20.6,1,0
0,109.608,1,1,33,4,-9,0,0
1,97.887,1,0,44,4,60.196,1,1
1,50.268,0,1,41,1,20.1,1,0
0,55.5,1,0,63,2,55,0,1
1,50.484,1,0,36,4,8.6,0,0
0,70.905,1,0,41,6,1,0,0
0,16.14,0,1,35,1,12.999,0,0
0,17.967,0,0,30,4,-2,0,0
1,24.48,1,0,44,3,3.4,1,0
0,25.005,1,0,60,3,-1.829,0,0
0,31.47,1,0,31,2,-0.75,0,1
0,26.61,0,0,25,1,-5.8,0,0
0,22.011,1,0,31,7,-1.9,0,0
0,42.459,1,0,37,5,48.599,0,0
0,27,1,0,48,5,47.5,0,0
0,101.949,1,0,53,3,32.5,0,1
0,22.74,1,1,55,7,15.999,0,0
0,20.58,1,0,63,2,2.999,0,0
1,96.864,1,0,42,3,-9.38,1,0
0,47.403,0,0,46,3,-0.301,0,0
0,11.094,1,0,51,3,-0.3,0,0
1,51.051,1,0,55,2,62,1,0
1,34.743,1,0,56,4,36.5,1,1
0,54.621,0,0,37,4,5.3,0,1
0,47.385,1,0,36,6,-0.9,0,0
0,46.746,1,0,51,3,0.899,0,0
0,103.455,0,1,44,1,68.248,0,0
1,24.21,1,0,44,6,5.59,1,0
0,34.89,1,0,44,5,-1.184,0,0
0,63.432,1,0,26,2,23.397,0,1
0,44.268,1,0,44,3,-2,0,0
0,44.508,1,0,27,3,-4.199,0,0
1,26.19,1,0,50,2,63.249,0,1
0,38.949,1,0,60,2,0.599,0,0
0,12.87,0,1,31,1,2.8,0,0
1,17.484,0,0,57,3,27.999,1,0
0,36.873,1,0,29,2,-4.9,0,0
0,17.04,1,0,27,3,-0.275,0,0
0,22.137,0,0,50,1,0.16,0,0
0,25.02,0,1,36,1,0.1,0,0
1,39.288,0,1,27,1,6.6,0,0
0,26.925,1,0,39,5,-2.4,0,0
0,23.661,0,0,33,1,4.1,0,0
0,28.8,1,0,42,4,-1.5,0,0
1,23.661,1,0,41,4,-3.452,0,0
0,44.775,1,0,34,4,-26.28,0,0
0,68.04,1,1,31,5,44.75,0,1
0,29.526,0,0,44,4,18.449,0,1
0,32.022,1,0,35,3,0.449,0,0
0,52.2,1,0,32,4,15,0,0
0,53.04,1,0,30,4,-4,0,0
1,43.47,1,0,41,5,-0.7,1,0
1,42.84,1,0,47,2,89.664,1,0
1,43.26,1,0,38,4,10.2,1,1
1,68.676,1,0,39,4,1.05,1,0
0,23.748,0,1,31,1,-1.55,0,0
0,19.68,1,0,48,4,0.08,0,0
0,29.604,0,0,28,3,-15.9,0,0
1,24.06,0,0,43,1,18.5,1,1
0,15.54,0,1,46,1,-2,0,0
1,49.38,1,0,56,4,37.4,1,0
1,54.597,1,0,42,4,1.7,1,0
0,18.468,0,0,55,1,-0.5,0,0
0,39.681,0,0,49,3,11.899,0,0
0,89.118,1,0,35,3,-315.701,0,0
0,10.797,0,1,57,2,0,0,0
0,42.024,1,0,44,4,-1.2,0,0
0,44.475,1,0,37,2,0.749,0,0
0,29.364,0,0,30,1,-9.1,0,0
1,33.54,1,0,55,2,18.549,1,1
0,27.561,1,0,50,4,0.84,0,0
1,29.466,0,1,43,2,123.639,1,1
0,139.137,1,1,46,2,9,0,0
0,20.43,0,0,49,1,0.5,0,0
0,18.015,0,1,31,1,2,0,0
1,34.671,0,1,33,1,-11.4,1,0
1,65.556,1,0,34,4,9.145,1,0
0,20.43,0,0,30,1,0.499,0,0
1,22.527,0,0,43,1,1.149,0,0
1,54.075,0,1,41,1,68.449,1,0
0,12.243,0,0,36,2,0.299,0,0
1,10.368,1,0,40,3,4.947,1,1
1,14.04,0,0,40,2,1,1,0
1,43.314,1,1,30,2,4.5,0,0
0,29.616,0,0,62,2,5.071,0,1
0,26.88,1,0,62,3,99.35,0,0
0,18.999,0,1,25,2,-3.05,0,0
0,25.5,1,0,28,4,2.4,0,0
1,52.962,1,0,33,3,-9.8,0,0
1,20.568,1,0,47,2,-0.064,0,0
0,35.493,1,0,26,4,-2.32,0,0
1,50.163,0,0,55,3,53.525,1,0
1,64.104,1,0,36,5,51.2,1,0
0,38.94,1,0,61,3,36.5,0,1
1,35.652,0,0,44,2,-3.2,0,0
0,12.375,1,0,26,4,-0.6,0,0
0,13.728,1,0,44,5,-4.108,0,0
0,17.229,0,0,33,2,0.374,0,0
0,15.888,0,1,27,2,-0.15,0,0
1,119.364,1,0,50,2,72.1,0,1
1,65.844,1,0,40,3,6.599,0,1
0,34.686,1,0,44,5,-39.915,0,0
0,21.948,0,0,54,1,20.75,0,1
0,23.634,0,0,48,2,0,0,0
0,34.68,1,0,40,5,1.6,0,0
0,35.616,0,0,42,1,42.499,0,1
1,59.34,1,0,63,2,21.299,1,1
0,21.6,1,0,28,4,-0.8,0,0
0,49.002,1,0,61,5,-29.001,0,0
1,136.389,1,1,60,2,141.223,1,1
0,28.83,0,1,26,1,6.899,0,1
1,27.105,0,0,42,2,-5.52,1,0
0,31.698,0,0,25,1,-2.97,0,0
1,32.244,1,1,35,2,2.14,1,1
1,53.1,1,0,34,4,6.2,1,0
1,36.939,0,1,42,1,2.4,1,0
0,27,1,0,55,2,54.997,0,1
1,34.329,0,0,36,1,-0.03,0,0
1,71.844,1,0,43,4,50.594,1,1
1,84.504,1,1,38,3,-9.087,0,0
0,45.549,1,0,60,2,23.309,0,0
0,16.2,0,0,27,1,0,0,0
1,18.012,0,1,38,1,3.487,1,0
1,75.003,1,1,54,2,156.498,1,1
0,52.995,1,0,37,4,8.249,0,1
1,47.664,1,0,37,3,32.5,1,0
0,28.56,1,0,33,4,0.3,0,0
1,65.847,1,0,27,2,12.625,1,0
1,60.27,1,0,28,2,7.3,1,0
0,137.16,1,0,51,3,5.004,0,1
1,25.638,1,0,55,2,0.2,0,0
0,59.199,1,0,26,2,-17.975,0,0
0,56.691,1,0,27,2,9.699,0,1
0,36.42,0,0,56,1,4.999,0,0
0,13.572,0,0,41,2,0,0,0
1,54.492,1,0,49,2,25.124,0,1
0,23.463,0,1,43,1,-4.811,0,0
0,33.759,1,0,35,3,-2.051,0,0
1,47.928,1,1,34,3,6.4,0,1
1,46.533,1,0,36,6,-14.3,1,0
1,48.138,1,0,62,3,77.9,1,1
0,23.535,0,0,62,1,137.8,0,1
1,62.355,1,0,34,4,-4,0,0
0,30.432,1,0,64,2,76,0,1
1,18.258,0,0,25,1,0.1,0,0
1,24.624,0,1,50,1,17.105,1,1
1,70.374,1,0,46,5,34.9,0,0
0,26.52,0,0,25,4,0,0,0
1,100.53,1,0,47,4,242,1,1
0,44.22,1,0,46,3,21.862,0,1
0,33.687,1,0,47,4,33,0,1
0,14.997,1,0,32,12,0.036,0,0
0,31.956,0,0,38,3,-4.325,0,0
0,69.555,1,0,49,4,-15.141,0,0
0,28.902,0,0,37,2,0,0,0
1,24.156,0,0,29,1,0.599,0,0
0,13.41,0,0,27,2,7.62,0,0
0,50.439,1,0,53,3,9.675,0,1
0,16.71,0,1,55,1,0,0,0
0,69.375,0,1,42,1,2.9,0,0
1,40.152,1,0,57,3,97.899,1,1
0,33.681,1,0,55,5,3.5,0,1
1,50.742,1,0,50,2,75.149,1,0
0,16.215,1,0,32,8,-0.4,0,0
0,15.198,0,0,44,3,0.9,0,0
1,54.594,1,1,40,4,8.349,1,0
1,78.45,1,0,37,3,36.998,1,0
0,100.692,1,0,39,6,56.5,0,0
0,104.802,1,0,51,2,106,0,1
1,192.99,1,0,49,3,122,1,1
0,25.773,1,0,46,2,-9.5,0,0
0,32.154,1,0,27,3,-0.296,0,0
0,73.785,1,0,46,4,13.209,0,1
1,101.589,1,1,45,5,-8.334,1,1
0,31.008,1,0,54,2,15.5,0,1
0,46.221,1,0,55,3,-336.789,0,1
0,17.403,0,0,62,1,11.137,0,0
1,12.399,0,0,46,1,13.486,1,0
0,35.058,1,0,30,2,-10.525,0,0
1,24.114,1,0,50,6,-2.91,1,0
1,28.98,1,0,34,6,0.35,0,0
1,35.7,0,0,50,1,41.75,1,0
1,43.275,1,0,27,3,18.8,1,0
0,11.253,0,0,42,5,-1.5,0,0
0,24.6,0,1,28,3,-2.5,0,0
0,14.7,0,0,43,2,-3.5,0,0
0,43.521,1,0,32,4,3.5,0,0
0,57,1,0,30,2,-10.275,0,0
0,18.81,1,0,27,2,26.2,0,1
1,48.819,1,0,36,5,5.905,0,0
1,68.949,1,0,39,5,46.5,1,1
0,24.942,0,1,26,4,4.799,0,0
1,35.706,1,1,37,4,28.049,1,0
0,16.26,0,1,47,2,1.7,0,0
0,28.56,1,0,45,6,0.05,0,0
1,16.8,0,1,61,4,45,1,0
0,25.56,1,0,31,3,16.5,0,0
1,35.082,1,0,48,4,-2.485,0,0
1,44.88,1,0,39,4,14.74,1,0
0,14.895,0,1,25,1,-0.1,0,0
0,28.191,1,0,52,3,-1,0,0
0,15.966,0,0,30,1,0,0,0
0,59.34,1,0,40,4,140.6,0,1
0,47.019,0,1,49,3,129.12,0,0
0,12.048,0,0,54,2,-4.8,0,0
0,11.22,1,0,25,4,0,0,0
0,65.028,1,0,62,2,47.7,0,1
1,53.67,1,0,36,3,14.099,1,0
1,13.596,1,0,61,2,54.249,1,1
1,28.872,1,1,36,3,2.785,1,0
0,10.56,1,0,30,5,-8.55,0,0
0,25.8,0,1,28,1,10.01,0,0
1,51.051,1,0,31,4,-0.39,1,0
0,25.068,1,0,42,7,1.449,0,0
0,34.794,1,0,25,3,-0.45,0,0
1,28.635,0,1,31,1,5,0,0
0,54.063,1,0,49,4,2.175,0,0
0,43.281,1,0,29,3,1.368,0,1
0,12.555,0,0,25,2,-10.25,0,0
0,25.5,1,0,62,3,-1.3,0,0
1,26.868,0,0,37,4,3.2,1,0
0,20.331,0,0,42,3,-2.252,0,0
0,20.475,1,0,31,1,-0.1,0,0
0,36.474,0,1,34,1,1.1,0,0
0,33.225,1,0,33,5,16.975,0,0
1,25.068,1,0,34,5,8.025,1,0
0,28.182,0,1,47,1,19.599,0,0
0,32.676,0,0,40,3,9,0,0
1,49.044,1,0,43,6,24.278,1,1
0,36.012,1,0,32,8,-10.4,0,0
0,13.215,0,0,48,3,0.949,0,0
0,11.1,1,0,32,5,5,0,0
1,12.75,1,0,41,6,0.725,0,0
0,10.5,1,0,43,5,0,0,0
1,24.045,0,0,36,1,0.14,1,0
1,66.801,1,0,40,3,295.898,1,1
0,43.968,1,0,37,4,11.199,0,1
0,38.124,1,0,64,2,45.9,0,1
1,45.75,0,1,33,1,21.5,1,0
0,35.73,1,0,37,3,-9.176,0,0
0,26.094,1,0,36,5,-1.15,0,0
0,19.2,0,1,31,3,-9.4,0,0
0,19.17,0,0,41,1,-6.9,0,0
1,100.287,0,1,39,1,259.198,1,1
1,36.963,0,1,33,1,5.696,1,0
1,24.945,0,0,38,1,2.85,1,0
0,48.732,1,0,53,2,149.601,0,1
0,27.792,1,1,35,5,1,0,0
1,25.74,1,0,31,3,-4.83,1,0
0,22.752,0,0,40,4,-6.7,0,0
1,64.974,1,0,38,2,29.13,1,1
1,50.07,1,0,37,4,2.75,1,0
0,14.97,1,0,49,4,2.099,0,0
1,42.834,1,0,36,4,53.421,1,0
1,73.707,1,0,32,5,-10.55,0,0
0,42.738,1,0,26,3,1.024,0,0
0,42.555,1,0,31,3,-101.436,0,0
0,29.16,0,0,28,1,2.6,0,0
0,68.439,1,0,29,3,24.35,0,0
1,17.214,0,0,48,1,12.048,1,0
1,36.084,0,0,28,3,3.35,1,0
1,98.292,1,1,42,4,351.62,1,1
1,33.816,1,1,58,3,3.6,1,0
1,65.601,1,0,48,5,42.2,0,0
1,45.486,0,0,46,1,16.05,1,0
0,91.692,1,0,56,2,47,0,0
0,33.777,1,0,57,3,42.4,0,1
1,57.72,1,1,37,2,3.6,1,0
1,45.744,1,0,44,5,2.8,0,0
0,28.32,0,0,37,3,-9,0,0
1,47.238,0,1,41,1,63.7,1,1
0,37.569,1,0,39,4,-6.301,0,0
