ID,Year,State,MinAF,AvgAF,MaxAF,CommitAF,CommitAvgAF,CommitMaxAF,TotalPrice,InfAdjPrice,InfAdjPriceAF,InfAdjCommitPriceAF,Sale,Lease,Exchange,LeaseDuration,AgtoAg,AgtoUrban,AgtoEnivo,UrbantoAg,UrbantoUrban,UrbantoEnviro,EnvirotoAg,EnvirotoUrban,EnvirotoEnviro
UT33,1993,UT,9700,9700,9700,9700,9700,9700,54320,42704.17,4.402492,4.402492,0,1,,1,1,0,0,0,0,0,0,0,0
ID72,1999,ID,214,214,214,214,214,214,1391,948.485,4.432173,4.432173,0,1,,1,1,0,0,0,0,0,0,0,0
ID73,1999,ID,3000,3000,3000,3000,3000,3000,19500,13296.52,4.432173,4.432173,0,1,,1,0,1,0,0,0,0,0,0,0
WY61,2008,WY,0,16500,33000,0,283124.92,566249.85,141562.46,73402.66,4.45,0.26,0,1,,40,1,0,0,0,0,0,0,0,0
WY62,2008,WY,0,4000,8000,0,68636.35,137272.69,34318.18,17794.59,4.45,0.26,0,1,,40,1,0,0,0,0,0,0,0,0
CA126,1992,CA,120,120,120,120,120,120,660,534.3977,4.453314,4.453314,0,1,,0,1,0,0,0,0,0,0,0,0
CA127,1992,CA,1860,1860,1860,1860,1860,1860,10230,8283.164,4.453314,4.453314,0,1,,0,1,0,0,0,0,0,0,0,0
CO535,1995,CO,128,128,128,128,128,128,768,572.4725,4.472441,4.472441,0,1,,1,1,0,0,0,0,0,0,0,0
OR94,2006,OR,591.6,591.6,591.6,2097.78,2097.78,2097.78,4866.85,"2,742.43",4.63,1.31,1,0,0,4,0,0,1,0,0,0,0,0,0
OR72,2005,OR,3178.53,3178.53,3178.53,3178.53,3178.53,3178.53,25428.24,14790.82,4.65,4.65,0,1,,1,1,0,0,0,0,0,0,0,0
OR81,2005,OR,3746,3746,3746,3746,3746,3746,29968,17431.46,4.653354,4.653354,0,1,,1,1,0,0,0,0,0,0,0,0
CO2123,2008,CO,3800,3800,3800,3800,3800,3800,34200,17939.08,4.72,4.72,0,1,,1,0,0,1,0,0,0,0,0,0
CO939,1999,CO,8285,8285,8285,8285,8285,8285,57995,39545.21,4.773109,4.773109,0,1,,1,1,0,0,0,0,0,0,0,0
CO940,1999,CO,60414,60414,60414,60414,60414,60414,422898,288362.6,4.773109,4.773109,0,1,,1,1,0,0,0,0,0,0,0,0
CO938,1999,CO,3784,3784,3784,3784,3784,3784,26488,18061.45,4.773109,4.773109,0,1,,1,0,1,0,0,0,0,0,0,0
NM64,1999,NM,0,25,50,0,25,50,175,119.3277,4.773109,4.773109,0,1,,1,0,0,0,0,0,1,0,0,0
NM65,1999,NM,0,30,60,0,30,60,210,143.1933,4.773109,4.773109,0,1,,1,0,0,0,0,0,1,0,0,0
NM66,1999,NM,0,250,500,0,250,500,1750,1193.277,4.773109,4.773109,0,1,,1,0,0,0,0,0,1,0,0,0
NM67,1999,NM,0,400,800,0,400,800,2800,1909.244,4.773109,4.773109,0,1,,1,0,0,0,0,0,1,0,0,0
NM68,1999,NM,0,1000,2000,0,1000,2000,7000,4773.109,4.773109,4.773109,0,1,,1,0,0,0,0,0,1,0,0,0
NM69,1999,NM,0,1800,3600,0,1800,3600,12600,8591.597,4.773109,4.773109,0,1,,1,0,0,0,0,0,1,0,0,0
NM70,1999,NM,0,5000,10000,0,5000,10000,35000,23865.54,4.773109,4.773109,0,1,,1,0,0,0,0,0,1,0,0,0
OR67,2004,OR,1757.32,1757.32,1757.32,1757.32,1757.32,1757.32,14058.56,8454.486,4.811011,4.811011,0,1,,1,1,0,0,0,0,0,0,0,0
OR68,2004,OR,2310.43,2310.43,2310.43,2310.43,2310.43,2310.43,18483.44,11115.5,4.811011,4.811011,0,1,,1,1,0,0,0,0,0,0,0,0
ID54,1995,ID,999,999,999,999,999,999,6493.5,4840.299,4.845144,4.845144,0,1,,1,0,0,1,0,0,0,0,0,0
ID56,1995,ID,1,1,1,1,1,1,6.5,4.845145,4.845145,4.845145,0,1,,1,1,0,0,0,0,0,0,0,0
UT28,1992,UT,10600,10600,10600,10600,10600,10600,63600,51496.51,4.858161,4.858161,0,1,,1,1,0,0,0,0,0,0,0,0
ID69,1998,ID,30,30,30,30,30,30,210,146.3558,4.878528,4.878528,0,1,,1,1,0,0,0,0,0,0,0,0
ID70,1998,ID,525,525,525,525,525,525,3675,2561.227,4.878528,4.878528,0,1,,1,1,0,0,0,0,0,0,0,0
ID71,1998,ID,40932,40932,40932,40932,40932,40932,286524,199687.9,4.878528,4.878528,0,1,,1,0,0,1,0,0,0,0,0,0
CO2028,2007,CO,300,300,300,300,300,300,2700,"1,471.15",4.9,4.9,0,1,,1,0,0,0,0,0,1,0,0,0
CA236,1997,CA,0,1500,3000,0,1500,3000,10395,7357.458,4.904972,4.904972,0,1,,1,1,0,0,0,0,0,0,0,0
OR61,2003,OR,1371,1371,1371,23525.107,23525.107,23525.107,10968,6771.548,4.93913,0.2878434,0,1,,40,1,0,0,0,0,0,0,0,0
OR60,2003,OR,2531,2531,2531,2531,2531,2531,20248,12500.94,4.939131,4.939131,0,1,,1,1,0,0,0,0,0,0,0,0
ID39,1994,ID,4753,4753,4753,4753,4753,4753,30894.5,23681.62,4.982456,4.982456,0,1,,1,0,0,1,0,0,0,0,0,0
ID8,1989,ID,161,161,161,161,161,161,885.5,811.2322,5.03871,5.03871,0,1,,1,1,0,0,0,0,0,0,0,0
OR50,2002,OR,506,506,506,506,506,506,4048,2556.158,5.051695,5.051695,0,1,,1,1,0,0,0,0,0,0,0,0
ID94,2002,ID,50000,50000,50000,50000,50000,50000,400000,252584.8,5.051696,5.051696,0,1,,1,0,0,1,0,0,0,0,0,0
CO1909,2006,CO,5000,5000,5000,5000,5000,5000,45000,"25,357.14",5.07,5.07,0,1,,1,0,0,1,0,0,0,0,0,0
ID114,2005,ID,13000,13000,13000,13000,13000,13000,117000,68055.3,5.235,5.235,0,1,,1,0,0,1,0,0,0,0,0,0
ID25,1992,ID,1832,1832,1832,1832,1832,1832,11908,9641.83,5.263008,5.263008,0,1,,1,1,0,0,0,0,0,0,0,0
OR33,2000,OR,2092,2092,2092,2092,2092,2092,16736,11040.71,5.277584,5.277584,0,1,,1,1,0,0,0,0,0,0,0,0
CO1046,2000,CO,19100,19100,19100,19100,19100,19100,152800,100801.9,5.277584,5.277584,0,1,,1,0,0,0,1,0,0,0,0,0
ID3,1988,ID,26200,26200,26200,26200,26200,26200,144100,138375,5.281487,5.281487,0,1,,1,1,0,0,0,0,0,0,0,0
CO802,1998,CO,13500,13500,13500,36763.848,36763.848,36763.848,102600,71505.27,5.296687,1.944989,0,1,,3,0,0,0,1,0,0,0,0,0
TX101,1997,TX,4349,4349,4349,4349,4349,4349,32618,23086.63,5.308493,5.308493,0,1,,1,1,0,0,0,0,0,0,0,0
CA307,1999,CA,237904,237904,237904,237904,237904,237904,1882632,1283715,5.395938,5.395938,0,1,,1,0,0,0,0,1,0,0,0,0
CA14,1988,CA,45000,45000,45000,45000,45000,45000,253800,243716.6,5.415926,5.415926,0,1,,0,0,0,0,0,0,0,0,0,1
OR25,1999,OR,2003,2003,2003,2003,2003,2003,16024,10926.33,5.454982,5.454982,0,1,,1,1,0,0,0,0,0,0,0,0
UT56,1999,UT,1780,1780,1780,1780,1780,1780,14240,9709.867,5.454982,5.454982,0,1,,1,1,0,0,0,0,0,0,0,0
CO884,1999,CO,8966,8966,8966,8966,8966,8966,71728,48909.37,5.454982,5.454982,0,1,,1,0,0,0,0,1,0,0,0,0
CO937,1999,CO,3102,3102,3102,3102,3102,3102,24816,16921.35,5.454982,5.454982,0,1,,0,0,0,0,0,1,0,0,0,0
ID32,1993,ID,39,39,39,39,39,39,273,214.6215,5.503114,5.503114,0,1,,1,0,1,0,0,0,0,0,0,0
OR21,1998,OR,2486,2486,2486,2486,2486,2486,19888,13860.59,5.57546,5.57546,0,1,,1,1,0,0,0,0,0,0,0,0
CO801,1998,CO,10300,10300,10300,19151.927,19151.927,19151.927,82400,57427.24,5.57546,2.99851,0,1,,2,0,0,0,0,1,0,0,0,0
CA69,1990,CA,50600,50600,50600,50600,50600,50600,327888,284989.1,5.632196,5.632196,0,1,,0,0,0,1,0,0,0,0,0,0
OR19,1997,OR,5523,5523,5523,5523,5523,5523,44184,31272.91,5.662305,5.662305,0,1,,1,1,0,0,0,0,0,0,0,0
ID136,2007,ID,406,406,406,406,406,406,4218.34,2311.17,5.69,5.69,0,1,,1,1,0,0,0,0,0,0,0,0
CA198,1994,CA,47500,47500,47500,47500,47500,47500,356250,273076.9,5.748988,5.748988,0,1,,1,0,0,0,0,1,0,0,0,0
CO2126,2008,CO,7503.75,7503.75,7503.75,7503.75,7503.75,7503.75,82541.25,43295.73,5.77,5.77,0,1,,1,1,0,0,0,0,0,0,0,0
CO2124,2008,CO,2000,2000,2000,2000,2000,2000,22000,11539.76,5.77,5.77,0,1,,1,0,0,1,0,0,0,0,0,0
OR8,1996,OR,10,10,10,140.93945,140.93945,140.93945,80,57.92225,5.792224,0.4109726,0,1,,25,1,0,0,0,0,0,0,0,0
CO915,1999,CO,11895,11895,11895,11895,11895,11895,101108,68942.79,5.795947,5.795947,0,1,,1,0,0,0,1,0,0,0,0,0
ID24,1991,ID,2765,2765,2765,2765,2765,2765,19355,16143.38,5.838473,5.838473,0,1,,1,1,0,0,0,0,0,0,0,0
CO1045,2000,CO,3244,3244,3244,3244,3244,3244,29196,19260.54,5.937282,5.937282,0,1,,1,0,0,0,1,0,0,0,0,0
WA11,1995,WA,8186,8186,8186,8186,8186,8186,65488,48815.2,5.963255,5.963255,0,1,,1,0,0,1,0,0,0,0,0,0
CO2022,2007,CO,21000,21000,21000,21000,21000,21000,231000,125865.03,6,6,0,1,,1,0,0,0,1,0,0,0,0,0
CO2023,2007,CO,3359.43,3359.43,3359.43,3359.43,3359.43,3359.43,36953.73,20135,6,6,0,1,,1,0,0,0,1,0,0,0,0,0
CO2024,2007,CO,2000,2000,2000,2000,2000,2000,22000,"11,987.15",6,6,0,1,,1,0,0,0,1,0,0,0,0,0
CO2025,2007,CO,1000,1000,1000,1000,1000,1000,11000,"5,993.57",6,6,0,1,,1,0,0,0,1,0,0,0,0,0
CO883,1999,CO,8000,8000,8000,8000,8000,8000,72000,49094.84,6.136855,6.136855,0,1,,1,0,0,0,1,0,0,0,0,0
MT59,2009,MT,1500,1500,1500,1500,1500,1500,17700,9372.369335,6.248246223,6.248246223,0,1,,1,0,0,1,0,0,0,0,0,0
MT51,2009,MT,40,40,40,173.1790668,173.1790668,173.1790668,476.2424338,252.1762702,6.304406755,1.456159077,0,1,,5,1,0,0,0,0,0,0,0,0
CA235,1997,CA,0,1250,2500,0,1250,2500,11250,7962.617,6.370093,6.370093,0,1,,1,1,0,0,0,0,0,0,0,0
CO914,1999,CO,3779,3779,3779,3779,3779,3779,35900,24479.23,6.477701,6.477701,0,1,,1,0,0,0,0,0,1,0,0,0
OR26,1999,OR,0,63,125,0,63,125,600,409.1236,6.494026,6.494026,0,1,,1,0,1,0,0,0,0,0,0,0
CA60,1990,CA,1000,1000,1000,1000,1000,1000,7500,6518.746,6.518745,6.518745,0,1,,0,1,0,0,0,0,0,0,0,0
CA68,1990,CA,16842,16842,16842,16842,16842,16842,127662,110959.5,6.58826,6.58826,0,1,,0,0,0,1,0,0,0,0,0,0
WA39,2004,WA,664,664,664,664,664,664,7304,4392.453,6.61514,6.61514,0,1,,1,1,0,0,0,0,0,0,0,0
CO803,1998,CO,5700,5700,5700,20211.918,20211.918,20211.918,54140,37731.93,6.619636,1.866816,0,1,,4,0,0,0,0,1,0,0,0,0
CA142,1992,CA,3000,3000,3000,3000,3000,3000,25110,20331.4,6.777135,6.777135,0,1,,0,1,0,0,0,0,0,0,0,0
ID97,2003,ID,49344,49344,49344,49344,49344,49344,542784,335110.1,6.791305,6.791305,0,1,,1,1,0,0,0,0,0,0,0,0
CO935,1999,CO,1568,1568,1568,1568,1568,1568,15680,10691.76,6.818727,6.818727,0,1,,0,0,0,0,0,1,0,0,0,0
CA255,1997,CA,8852,8852,8852,175693.7,175693.7,175693.7,85333,60397.69,6.823056,0.343767,0,1,,100,0,0,1,0,0,0,0,0,0
MT57,2009,MT,7.5,7.5,7.5,32.47107503,32.47107503,32.47107503,97.41322509,51.58150981,6.877534641,1.588537175,0,1,,5,1,0,0,0,0,0,0,0,0
ID79,2000,ID,53235,53235,53235,53235,53235,53235,558967,368749.4,6.926823,6.926823,0,1,,1,0,1,0,0,0,0,0,0,0
ID82,2000,ID,162325,162325,162325,162325,162325,162325,1704412,1124397,6.926827,6.926827,0,1,,1,0,0,1,0,0,0,0,0,0
ID88,2002,ID,2103,2103,2103,2103,2103,2103,23133,14607.61,6.946082,6.946082,0,1,,1,1,0,0,0,0,0,0,0,0
CO362,1993,CO,104,112,120,2080,2240,2400,1000,786.1592,7.019279,0.3509639,1,0,0,,1,0,0,0,0,0,0,0,0
WA24,2001,WA,5000,5000,5000,5000,5000,5000,55000,35279.5,7.0559,7.0559,0,1,,1,1,0,0,0,0,0,0,0,0
CO2207,2009,CO,29705,29705,29705,29705,29705,29705,406958.5,215489.5687,7.254319768,7.254319768,0,1,,1,0,0,0,1,0,0,0,0,0
CA139,1992,CA,2500,2500,2500,2500,2500,2500,22500,18218.1,7.287241,7.287241,0,1,,1,1,0,0,0,0,0,0,0,0
ID146,2007,ID,337.9,337.9,337.9,337.9,337.9,337.9,4524.481,"2,465.26",7.3,7.3,0,1,,1,1,0,0,0,0,0,0,0,0
CA562,2008,CA,37,37,37,37,37,37,515.78,515.78,7.31,7.31,0,1,,1,0,0,0,0,1,0,0,0,0
CA563,2008,CA,125,125,125,125,125,125,1742.5,914,7.31,7.31,0,1,,1,0,0,0,0,1,0,0,0,0
CA566,2008,CA,44,44,44,44,44,44,613.36,321.73,7.31,7.31,0,1,,1,0,0,0,0,1,0,0,0,0
CA568,2008,CA,883,883,883,883,883,883,12309.02,6456.51,7.31,7.31,0,1,,1,0,0,0,0,1,0,0,0,0
CA569,2008,CA,1689,1689,1689,1689,1689,1689,23544.66,12349.99,7.31,7.31,0,1,,1,0,0,0,0,1,0,0,0,0
